iter	Passed	Remaining
190	386	1638
191	387	1632
192	388	1625
193	389	1618
194	390	1610
195	390	1603
196	391	1596
197	392	1588
198	392	1581
199	393	1574
200	394	1568
201	395	1561
202	395	1554
203	397	1549
204	398	1543
205	398	1537
206	399	1530
207	400	1523
208	401	1518
209	402	1512
210	402	1506
211	403	1500
212	404	1493
213	404	1487
214	405	1481
215	406	1474
216	407	1468
217	407	1462
218	408	1456
219	409	1450
220	409	1444
221	410	1439
222	411	1434
223	412	1430
224	413	1425
225	414	1419
226	415	1414
227	416	1410
228	417	1405
229	418	1400
230	418	1394
231	419	1389
232	420	1383
233	421	1378
234	421	1373
235	422	1368
236	423	1363
237	424	1357
238	424	1352
239	425	1348
240	426	1343
241	427	1339
242	428	1335
243	429	1331
244	430	1326
245	431	1321
246	432	1317
247	432	1312
248	433	1308
249	434	1303
250	435	1299
251	436	1296
252	437	1292
253	438	1288
254	439	1283
255	440	1279
256	440	1274
257	441	1271
258	443	1267
259	444	1263
260	444	1259
261	445	1256
262	446	1252
263	447	1248
264	448	1243
265	449	1239
266	449	1235
267	450	1230
268	451	1227
269	452	1223
270	453	1219
271	454	1216
272	455	1213
273	456	1210
274	458	1207
275	458	1203
276	459	1200
277	460	1196
278	461	1193
279	462	1189
280	463	1186
281	464	1183
282	465	1179
283	466	1176
284	467	1172
285	468	1170
286	470	1167
287	471	1164
288	472	1161
289	473	1158
290	473	1154
291	474	1151
292	475	1147
293	476	1144
294	477	1141
295	478	1138
296	479	1135
297	480	1132
298	481	1129
299	483	1129
300	484	1126
301	485	1122
302	486	1119
303	487	1116
304	488	1113
305	489	1110
306	490	1106
307	491	1103
308	492	1100
309	493	1097
310	494	1094
311	495	1092
312	496	1089
313	497	1087
314	498	1084
315	499	1081
316	500	1078
317	501	1075
318	502	1072
319	503	1069
320	504	1066
321	505	1064
322	506	1061
323	507	1058
324	508	1055
325	508	1052
326	509	1049
327	510	1046
328	512	1044
329	513	1042
330	514	1040
331	515	1037
332	516	1034
333	517	1031
334	518	1028
335	518	1025
336	519	1022
337	520	1019
338	521	1017
339	522	1014
340	524	1013
341	525	1011
342	526	1008
343	527	1006
344	528	1004
345	529	1001
346	530	998
347	532	996
348	532	994
349	533	991
350	535	989
351	536	986
352	537	984
353	538	981
354	538	979
355	540	977
356	541	974
357	541	971
358	542	968
359	543	966
360	544	963
361	544	960
362	545	957
363	546	954
364	547	952
365	548	949
366	549	947
367	549	944
368	550	941
369	551	938
370	551	935
371	552	933
372	553	930
373	554	928
374	555	925
375	556	923
376	557	920
377	557	917
378	558	915
379	559	912
380	559	909
381	560	906
382	561	904
383	561	901
384	562	898
385	563	895
386	563	893
387	564	890
388	565	888
389	566	885
390	566	882
391	567	880
392	568	877
393	569	875
394	570	873
395	570	870
396	571	868
397	572	865
398	572	862
399	573	860
400	574	857
401	574	855
402	575	852
403	576	850
404	577	847
405	577	845
406	578	842
407	579	840
408	579	837
409	580	835
410	581	832
411	581	830
412	582	828
413	583	825
414	584	823
415	584	821
416	585	818
417	586	816
418	587	814
419	587	811
420	588	809
421	589	806
422	589	804
423	590	802
424	591	799
425	591	797
426	592	795
427	593	792
428	593	790
429	594	788
430	595	786
431	596	784
432	597	782
433	598	780
434	599	778
435	600	777
436	601	775
437	602	773
438	603	771
439	604	769
440	605	768
441	606	766
442	608	764
443	608	762
444	610	760
445	611	758
446	611	757
447	613	755
448	614	753
449	615	752
450	616	750
451	617	748
452	618	746
453	618	744
454	619	742
455	620	740
456	621	738
457	621	736
458	622	733
459	623	731
460	624	729
461	624	727
462	625	725
463	626	723
464	626	721
465	627	719
466	628	717
467	629	715
468	630	713
469	631	711
470	632	709
471	632	707
472	633	705
473	634	703
474	634	701
475	635	699
476	636	697
477	636	695
478	637	693
479	638	691
480	638	689
481	639	687
482	640	685
483	640	683
484	641	681
485	643	680
486	644	678
487	645	676
488	645	674
489	646	673
490	647	671
491	648	669
492	649	667
493	650	666
494	651	664
495	651	662
496	652	660
497	653	658
498	653	656
499	654	654
500	655	652
501	656	651
502	657	650
503	658	648
504	659	646
505	660	644
506	661	643
507	662	641
508	663	639
509	663	637
510	664	636
511	665	634
512	666	632
513	666	630
514	667	628
515	668	626
516	668	624
517	669	623
518	670	621
519	670	619
520	672	618
521	673	616
522	674	615
523	675	613
524	676	611
525	676	610
526	677	608
527	678	606
528	679	604
529	680	603
530	680	601
531	681	599
532	682	597
533	682	595
534	683	594
535	684	592
536	684	590
537	685	588
538	686	587
539	687	585
540	688	584
541	689	582
542	690	581
543	691	579
544	692	578
545	693	576
546	694	574
547	695	573
548	695	571
549	696	570
550	697	568
551	698	566
552	699	565
553	700	563
554	701	562
555	702	560
556	702	558
557	703	557
558	704	555
559	704	553
560	705	552
561	706	550
562	706	548
563	707	547
564	708	545
565	709	543
566	709	541
567	710	540
568	711	538
569	712	537
570	712	535
571	713	533
572	714	532
573	715	530
574	716	529
575	717	528
576	718	526
577	718	524
578	719	523
579	720	521
580	720	519
581	721	518
582	722	516
583	723	515
584	723	513
585	724	511
586	725	510
587	726	508
588	726	507
589	727	505
590	728	503
591	728	502
592	729	500
593	731	499
594	731	498
595	732	496
596	733	495
597	734	493
598	735	492
599	736	491
600	737	489
601	739	488
602	740	487
603	741	485
604	742	484
605	742	482
606	744	482
607	745	480
608	746	479
609	747	478
610	748	476
611	749	475
612	750	474
613	752	472
614	752	471
615	753	469
616	754	468
617	755	467
618	756	465
619	757	464
620	758	462
621	759	461
622	760	460
623	761	458
624	762	457
625	763	455
626	763	454
627	764	453
628	765	451
629	766	450
630	767	448
631	768	447
632	769	445
633	770	444
634	771	443
635	772	442
636	773	440
637	774	439
638	775	438
639	776	436
640	777	435
641	778	433
642	779	432
643	780	431
644	781	430
645	782	428
646	783	427
647	783	425
648	784	424
649	786	423
650	787	422
651	788	420
652	789	419
653	789	417
654	790	416
655	791	415
656	792	413
657	793	412
658	794	411
659	795	409
660	796	408
661	797	406
662	797	405
663	798	404
664	799	402
665	800	401
666	801	400
667	802	398
668	803	397
669	804	396
670	805	394
671	806	393
672	807	392
673	807	390
674	808	389
675	809	388
676	811	386
677	811	385
678	812	384
679	814	383
680	815	381
681	816	380
682	817	379
683	818	378
684	819	376
685	819	375
686	820	373
687	821	372
688	821	371
689	822	369
690	823	368
691	824	366
692	824	365
693	825	363
694	826	362
695	826	361
696	827	359
697	828	358
698	828	356
699	829	355
700	830	354
701	831	353
702	832	351
703	833	350
704	833	348
705	834	347
706	835	346
707	836	344
708	836	343
709	837	342
710	838	340
711	838	339
712	839	337
713	840	336
714	840	335
715	841	333
716	842	332
717	842	331
718	843	329
719	844	328
720	845	327
721	846	325
722	847	324
723	848	323
724	848	322
725	849	320
726	850	319
727	851	318
728	852	317
729	853	315
730	854	314
731	855	313
732	856	311
733	856	310
734	857	309
735	858	307
736	858	306
737	859	305
738	860	303
739	861	302
740	862	301
741	862	299
742	863	298
743	864	297
744	864	296
745	865	294
746	866	293
747	866	292
748	867	290
749	868	289
750	869	288
751	869	286
752	870	285
753	871	284
754	871	282
755	872	281
756	873	280
757	873	279
758	875	277
759	876	276
760	876	275
761	877	274
762	878	272
763	878	271
764	879	270
765	880	268
766	881	267
767	881	266
768	882	265
769	883	263
770	883	262
771	884	261
772	885	259
773	885	258
774	886	257
775	887	256
776	888	254
777	889	253
778	890	252
779	890	251
780	891	250
781	892	248
782	893	247
783	893	246
784	894	245
785	895	243
786	895	242
787	896	241
788	897	239
789	897	238
790	898	237
791	899	236
792	900	234
793	900	233
794	901	232
795	902	231
796	902	229
797	903	228
798	904	227
799	905	226
800	906	225
801	907	224
802	908	222
803	909	221
804	909	220
805	910	219
806	911	217
807	912	216
808	912	215
809	913	214
810	914	213
811	914	211
812	915	210
813	916	209
814	916	208
815	917	206
816	918	205
817	919	204
818	920	203
819	921	202
820	922	201
821	923	199
822	923	198
823	924	197
824	925	196
825	925	195
826	926	193
827	927	192
828	928	191
829	928	190
830	929	189
831	930	187
832	930	186
833	931	185
834	932	184
835	933	183
836	934	181
837	935	180
838	935	179
839	936	178
840	937	177
841	938	176
842	939	174
843	940	173
844	940	172
845	941	171
846	942	170
847	943	169
848	943	167
849	944	166
850	945	165
851	945	164
852	946	163
853	947	161
854	948	160
855	949	159
856	949	158
857	950	157
858	951	156
859	951	154
860	953	153
861	954	152
862	955	151
863	956	150
864	957	149
865	957	148
866	958	147
867	959	145
868	960	144
869	960	143
870	961	142
871	962	141
872	963	140
873	964	139
874	965	137
875	965	136
876	966	135
877	967	134
878	967	133
879	968	132
880	969	130
881	969	129
882	970	128
883	971	127
884	972	126
885	972	125
886	973	124
887	974	122
888	974	121
889	975	120
890	976	119
891	977	118
892	978	117
893	979	116
894	979	114
895	980	113
896	981	112
897	981	111
898	982	110
899	983	109
900	984	108
901	985	107
902	986	105
903	986	104
904	987	103
905	988	102
906	988	101
907	989	100
908	990	99
909	990	98
910	992	96
911	993	95
912	993	94
913	994	93
914	995	92
915	995	91
916	996	90
917	997	89
918	997	87
919	998	86
920	999	85
921	999	84
922	1000	83
923	1001	82
924	1001	81
925	1002	80
926	1003	79
927	1004	77
928	1004	76
929	1005	75
930	1006	74
931	1007	73
932	1008	72
933	1008	71
934	1009	70
935	1010	69
936	1010	67
937	1011	66
938	1012	65
939	1012	64
940	1013	63
941	1014	62
942	1014	61
943	1015	60
944	1016	59
945	1017	58
946	1017	56
947	1018	55
948	1019	54
949	1019	53
950	1020	52
951	1022	51
952	1022	50
953	1023	49
954	1024	48
955	1025	47
956	1026	46
957	1027	45
958	1027	43
959	1028	42
960	1029	41
961	1030	40
962	1030	39
963	1031	38
964	1032	37
965	1032	36
966	1033	35
967	1034	34
968	1034	33
969	1036	32
970	1037	30
971	1037	29
972	1038	28
973	1039	27
974	1040	26
975	1040	25
976	1041	24
977	1042	23
978	1042	22
979	1043	21
980	1044	20
981	1044	19
982	1045	18
983	1046	17
984	1047	15
985	1047	14
986	1048	13
987	1049	12
988	1049	11
989	1050	10
990	1051	9
991	1052	8
992	1053	7
993	1054	6
994	1054	5
995	1055	4
996	1056	3
997	1056	2
998	1057	1
999	1058	0
